name,placeId,taking_students,notes
Changing Ways,ChIJo1SH8YC7ClMRW3uD1VIsNTQ,,
Chantal Guerin RMT (Therapeutic Oasis),ChIJVUY3b5qRkFMRPv4TebGbcfE,,
Chantel McEvoy - Psychology & Consulting,ChIJj3e-S6ohoFMRlzX9fokbWgA,,
Chantel McEvoy- Psychology & Consulting,ChIJmZs2IygfoFMRRJZecRjuH0A,,
Chantille Groves,ChIJD3jf81ksE1MRB28epw0ADKo,,
Chaos to Calm Counselling & Consulting Ltd.,ChIJuzQNHkItE1MRrApT2W-5ahs,,
Cheryl Hanley,ChIJKQpLsV5fcVMR3Hn5yTRKdXc,,
"Cheryl Hutton, Registered Psychologist",ChIJ5YuDN76HblMROYxTz-m1kSA,,
Child & Family Services,ChIJbaQd9JayCVMRsmf-XIcGP9s,,
Child & Youth Addiction & Mental Health,ChIJCfiYmEuRkFMROm5PUlKdFj0,,
"Child Inspired Psychology Group, INC",ChIJK88w-mtfcVMRS19FaU8bCvo,,
Child Psychological Services & Wellness,ChIJzeIEvY93cVMRmv88qqFolnQ,,
"Child, Youth, Family and Prevention Services- Recovery Alberta",ChIJd3IeYQAtE1MRrMGAYqHGgAc,,
Children & Family EMDR Consulting Inc.,ChIJY7rffz21sS4RtQKwCrg4rZU,,
"Children's Allied Health Services (formerly, CHADS)",ChIJh6ouNvEtE1MRVuZgJwbLXnc,,
Children's Services Medicine Hat (South Region Office),ChIJhZJWEPMtE1MRQCPOY7nlL88,,
Choice Point Psychological Services,ChIJXWxskehpcVMRbdWdWdnShDs,,
Choose You Resilience and Wellness Centre,ChIJf-flNy1xcVMR3MH1RjCyhG4,,
Christian Counselling,ChIJcSXNxpWyCVMReO8J6Uo8r_4,,
Christina Vaillancourt Psychological Services Inc.,ChIJxSDBnMpfcVMRERqKF7L4KLQ,,
"Cindy Gaetz, Psychologist",ChIJW0fxHIaHblMR1VkFfewXqrM,,
Circle of Wellness,ChIJ_7OojVgloFMRrS0hYjPV6e4,,
Cirrus Psychology Services,ChIJWVVOxyBUdFMRHERWyTLqZSg,,
City Centre Counselling,ChIJwxOqSxAtE1MRLRPhFdOvMKQ,,
Claritas Healthcare,ChIJR8xKivMtE1MRDfxJL-ehMSE,,
Clarity Psychology Edmonton,ChIJIQcsiikfoFMRm5UiPlnyWmk,,
Clark Counselling Services Ltd,ChIJK0tANDBUdFMRGFLgA5R8qF8,,
Clarke Psychological,ChIJZ2Ok-CgjoFMRJie4PENk6Js,,
